722.44,4.8851e+06
978.96,9.7472e+06
738.48,5.8158e+06
608.22,3.3771e+06
928.86,8.0763e+06
986.97,1.0101e+07
689.38,4.7375e+06
547.09,3.2879e+06
727.45,5.5387e+06
964.93,9.0068e+06
861.72,7.3182e+06
881.76,7.5669e+06
526.05,2.8126e+06
731.46,5.6424e+06
944.89,8.9427e+06
677.35,4.0635e+06
897.8,8.3697e+06
982.97,9.6635e+06
627.25,3.82e+06
895.79,7.4992e+06
804.61,6.5679e+06
713.43,5.1515e+06
825.65,6.9022e+06
792.59,6.0129e+06
886.77,7.6817e+06
862.73,7.2144e+06
958.92,9.6427e+06
584.17,3.2078e+06
516.03,2.6141e+06
551.1,2.815e+06
845.69,7.3801e+06
606.21,3.6723e+06
868.74,7.5658e+06
641.28,4.3477e+06
617.23,3.979e+06
615.23,3.982e+06
592.18,2.974e+06
682.36,4.7116e+06
857.72,7.5989e+06
629.26,4.0476e+06
572.14,3.4993e+06
834.67,7.4975e+06
893.79,8.3013e+06
752.51,5.3823e+06
755.51,5.5009e+06
616.23,3.7674e+06
790.58,6.09e+06
667.33,4.4341e+06
814.63,6.9437e+06
829.66,6.751e+06
